Time,Geoid,NumberOfReports
11/2017,36005005001,2
11/2017,36047034500,6
11/2017,36047082200,7
08/2017,36005028100,1
07/2017,36047090800,5
04/2017,36061017401,4
12/2017,36047055000,1
07/2017,36005045800,2
05/2017,36081049900,1
07/2017,36005019500,3
09/2017,36005024100,4
03/2017,36047044900,1
12/2017,36081152901,1
05/2017,36005051600,3
10/2017,36061003400,8
09/2017,36047035200,1
01/2017,36047035900,6
10/2017,36005040701,2
05/2017,36047049300,10
08/2017,36047008500,5
11/2017,36081063700,2
04/2017,36081140901,1
10/2017,36005021700,2
12/2017,36081071900,1
11/2017,36047021500,2
10/2017,36005046000,3
03/2017,36047040500,1
09/2017,36061000800,4
06/2017,36081133900,1
11/2017,36061020600,3
05/2017,36061002800,2
05/2017,36047105804,1
06/2017,36047019400,1
03/2017,36047029600,1
04/2017,36061016400,2
07/2017,36061007200,3
11/2017,36005034400,1
05/2017,36061013600,2
09/2017,36061024302,4
11/2017,36061022400,3
10/2017,36061018900,7
09/2017,36005014300,1
02/2017,36061009300,1
09/2017,36005003700,3
10/2017,36081004300,4
05/2017,36085006400,2
03/2017,36061030900,5
06/2017,36061017200,10
01/2017,36005018301,2
07/2017,36061002500,2
11/2017,36061021600,2
12/2017,36061016200,9
07/2017,36081052400,1
03/2017,36081061900,1
01/2017,36005017500,2
01/2017,36047102800,4
10/2017,36047005602,1
10/2017,36081006501,2
04/2017,36061017700,5
01/2017,36085000700,1
03/2017,36047027300,3
10/2017,36061027700,4
09/2017,36061015300,6
09/2017,36061021900,2
06/2017,36085027900,48
08/2017,36061008000,1
02/2017,36047015300,1
02/2017,36061030900,5
07/2017,36047051400,2
08/2017,36047089000,2
06/2017,36061030900,7
05/2017,36047025100,3
12/2017,36005005600,4
02/2017,36061010300,1
11/2017,36047031500,2
07/2017,36061017000,7
02/2017,36047054700,1
03/2017,36081028900,2
08/2017,36061008100,8
06/2017,36081008500,4
09/2017,36061016600,5
01/2017,36005018102,3
02/2017,36061007400,3
07/2017,36061015200,2
10/2017,36047113400,3
10/2017,36061015700,5
04/2017,36061012900,4
10/2017,36061021703,1
02/2017,36047039900,1
08/2017,36047051100,7
09/2017,36061004900,6
05/2017,36081104700,1
04/2017,36005039902,3
01/2017,36061009800,1
09/2017,36005021602,1
02/2017,36005048400,1
10/2017,36005037200,2
01/2017,36047032500,2
08/2017,36061024500,6
08/2017,36005006200,5
11/2017,36047115600,7
08/2017,36047036001,2
11/2017,36047007500,2
10/2017,36081103201,4
12/2017,36061024200,10
10/2017,36061024700,5
11/2017,36047090000,1
08/2017,36085027900,34
01/2017,36061009100,4
12/2017,36047086800,2
05/2017,36047038300,4
09/2017,36047078800,2
02/2017,36047031100,5
04/2017,36061025100,2
02/2017,36005040502,2
08/2017,36005030200,13
05/2017,36061001001,5
09/2017,36005004300,1
11/2017,36061017900,4
03/2017,36047043600,1
12/2017,36061022500,7
09/2017,36047038100,1
09/2017,36081094202,4
12/2017,36061015400,3
07/2017,36061016700,3
10/2017,36005039300,2
08/2017,36047038100,1
03/2017,36047076200,3
01/2017,36061015100,6
07/2017,36005019300,3
11/2017,36047070201,2
06/2017,36061016100,6
10/2017,36061024302,3
09/2017,36061023200,11
05/2017,36047028900,2
05/2017,36047110400,6
06/2017,36005007500,4
08/2017,36061022301,2
09/2017,36047020700,3
11/2017,36047030700,6
08/2017,36005015200,4
02/2017,36061005000,2
07/2017,36005023900,1
05/2017,36047037900,3
07/2017,36005021602,1
02/2017,36005024100,4
06/2017,36005035800,3
01/2017,36005037300,2
02/2017,36081079900,1
08/2017,36005028300,3
06/2017,36047002100,2
06/2017,36081044000,1
12/2017,36047039900,3
02/2017,36047008500,4
12/2017,36005040501,1
11/2017,36081103900,2
11/2017,36061003400,7
11/2017,36047102800,4
11/2017,36081005900,1
06/2017,36061007900,1
06/2017,36047034500,4
02/2017,36005040100,3
06/2017,36061018900,10
11/2017,36061018900,6
11/2017,36061008603,1
10/2017,36005030200,12
06/2017,36081092900,2
05/2017,36005021601,3
06/2017,36061028500,4
03/2017,36005040304,1
03/2017,36061014801,1
01/2017,36061017200,5
06/2017,36005042901,1
11/2017,36081004500,1
08/2017,36047087600,2
09/2017,36047091000,8
04/2017,36005038200,2
04/2017,36061023200,5
06/2017,36085031901,1
08/2017,36061013600,4
08/2017,36061007700,2
10/2017,36081047900,1
12/2017,36061022000,3
05/2017,36061021500,1
02/2017,36047000100,4
01/2017,36081062400,1
07/2017,36047120000,1
10/2017,36047031500,5
10/2017,36047036100,2
03/2017,36047043100,2
11/2017,36005025100,1
01/2017,36081122701,8
07/2017,36061018400,4
08/2017,36061013500,2
10/2017,36005009300,1
05/2017,36005038301,4
03/2017,36081009500,1
10/2017,36047038100,3
05/2017,36047005900,3
08/2017,36047021900,1
08/2017,36061026100,6
10/2017,36005029500,1
